ticker,companyName,currency,internalPrice,externalPrice,priceDiffPct,internalPe,externalPe,peDiffPct,internalPeg,externalPeg,pegDiffPct,internalDividend,externalDividend,dividendDiffPp,dividendDiffPct,classification,internalComputedAt,externalRetrievedAt,externalSourceUrl
"NN.AS","NN Group NV","EUR","78.76","78.76","0","11.62","11.62","0","0.87","0.87","0","5.18","5.18","0","0","innerhalb Toleranz","2026-08-14 20:54:36","2026-08-14T21:31:49.435Z","https://finance.yahoo.com/quote/NN.AS/"
"KNIN.SW","Kuehne & Nagel","CHF","211.3","211.3","0","29.1","29.1","0","2.43","2.43","0","2.86","2.95","-0.0900000000000003","-3.0508474576271287","innerhalb Toleranz","2026-08-14 20:53:22","2026-08-14T21:31:50.537Z","https://finance.yahoo.com/quote/KNIN.SW/"
"MATX","Matson Inc","USD","216.58","217.3","-0.3313391624482277","14.62","14.67","-0.34083162917519233","2.01","2.01","0","0.71","0.71","0","0","innerhalb Toleranz","2026-08-14 20:54:49","2026-08-14T21:31:50.805Z","https://finance.yahoo.com/quote/MATX/"
"LONN.SW","Lonza Group AG","CHF","562.6","562.6","0","36.37","36.37","0","1.26","1.26","0","0.87","0.87","0","0","innerhalb Toleranz","2026-08-14 20:53:46","2026-08-14T21:31:51.262Z","https://finance.yahoo.com/quote/LONN.SW/"
"LLY","Eli Lilly and Company","USD","1177.69","1180.16","-0.2092936550976162","39.6","40.05","-1.123595505617967","1.49","0","","0.57","0.57","0","0","innerhalb Toleranz","2026-08-14 20:53:30","2026-08-14T21:31:52.292Z","https://finance.yahoo.com/quote/LLY/"
"SREN.SW","Swiss Re AG","CHF","139.45","139.45","0","10.47","10.47","0","0.8","0.8","0","4.53","4.56","-0.02999999999999936","-0.6578947368420912","innerhalb Toleranz","2026-08-14 20:52:31","2026-08-14T21:31:53.023Z","https://finance.yahoo.com/quote/SREN.SW/"
"TNZ.TO","Tenaz Energy Corp.","CAD","54.62","54.72","-0.1827485380116985","14.6","14.63","-0.20505809979494966","1.01","0","","","0","","","Basis-/Verfügbarkeitsunterschied","2026-08-14 20:54:53","2026-08-14T21:31:54.025Z","https://finance.yahoo.com/quote/TNZ.TO/"
"FTK","Flotek Industries Inc","USD","35.89","35.83","0.16745743790120646","35.53","37.25","-4.617449664429527","4.32","0","","","0","","","Basis-/Verfügbarkeitsunterschied","2026-08-14 20:55:00","2026-08-14T21:31:54.504Z","https://finance.yahoo.com/quote/FTK/"
"SOFI","SoFi Technologies","USD","18.4117","18.29","0.6653909240021902","37.57","36.98","1.5954570037858395","0.87","0.87","0","","0","","","Basis-/Verfügbarkeitsunterschied","2026-08-14 20:52:53","2026-08-14T21:31:55.259Z","https://finance.yahoo.com/quote/SOFI/"
"ANET","Arista Networks Inc","USD","198.88","198.82","0.030178050497938976","62.94","62.92","0.03178639542275273","1.81","1.81","0","","0","","","Basis-/Verfügbarkeitsunterschied","2026-08-14 20:52:40","2026-08-14T21:31:56.163Z","https://finance.yahoo.com/quote/ANET/"
"MC.PA","LVMH Moet Hennessy","EUR","458.4","458.4","0","20.89","20.89","0","1.87","1.87","0","2.83","2.8","0.03000000000000025","1.0714285714285805","innerhalb Toleranz","2026-08-14 20:52:34","2026-08-14T21:31:56.781Z","https://finance.yahoo.com/quote/MC.PA/"
"ACA.PA","Crédit Agricole","EUR","20.2","20.2","0","10","10","0","4.18","4.18","0","8.46","8.46","0","0","innerhalb Toleranz","2026-08-14 20:54:24","2026-08-14T21:31:57.286Z","https://finance.yahoo.com/quote/ACA.PA/"
"BE","Bloom Energy Corp","USD","231.11","229.94","0.5088283900147934","296.29","294.79","0.5088367990773092","0.88","0.88","0","","0","","","Basis-/Verfügbarkeitsunterschied","2026-08-14 20:52:37","2026-08-14T21:31:58.145Z","https://finance.yahoo.com/quote/BE/"
"RUS.TO","Russel Metals Inc.","CAD","79.83","79.73","0.125423303649811","20.36","20.7","-1.6425120772946853","0.53","0","","2.19","2.19","0","0","innerhalb Toleranz","2026-08-14 20:55:00","2026-08-14T21:31:58.364Z","https://finance.yahoo.com/quote/RUS.TO/"
"BAC","Bank of America","USD","64.4399","64.49","-0.07768646301752284","14.88","14.75","0.8813559322033951","1.09","1.09","0","2","1.75","0.25","14.285714285714285","innerhalb Toleranz","2026-08-14 20:53:49","2026-08-14T21:31:58.752Z","https://finance.yahoo.com/quote/BAC/"
"RMBS","Rambus Inc","USD","100.39","100.85","-0.45612295488348414","46.05","46.26","-0.4539559014267204","3.8","3.8","0","","0","","","Basis-/Verfügbarkeitsunterschied","2026-08-14 20:54:44","2026-08-14T21:31:59.734Z","https://finance.yahoo.com/quote/RMBS/"
"MO","Altria Group, Inc.","USD","65.805","65.7","0.15981735159817959","13.85","13.83","0.1446131597975385","1.49","1.49","0","6.52","6.52","0","0","innerhalb Toleranz","2026-08-14 20:53:44","2026-08-14T21:32:00.371Z","https://finance.yahoo.com/quote/MO/"
"PATH","UiPath Inc","USD","16.035","16.01","0.15615240474702421","26.72","25.98","2.848344880677438","0.56","0.56","0","","0","","","Basis-/Verfügbarkeitsunterschied","2026-08-14 20:52:49","2026-08-14T21:32:01.581Z","https://finance.yahoo.com/quote/PATH/"
"FLEX","Flex","USD","125.525","126.16","-0.5033291058972661","48.47","48.71","-0.4927119687949127","0.94","0.94","0","","0","","","Basis-/Verfügbarkeitsunterschied","2026-08-14 20:53:59","2026-08-14T21:32:02.725Z","https://finance.yahoo.com/quote/FLEX/"
"ORCL","Oracle Corporation","USD","150.33","150.52","-0.12622907254849702","25.79","25.82","-0.11618900077459773","0.85","0.85","0","1.28","1.3","-0.020000000000000018","-1.5384615384615397","innerhalb Toleranz","2026-08-14 20:53:32","2026-08-14T21:32:03.117Z","https://finance.yahoo.com/quote/ORCL/"
